epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.554,1.50541,1.7567,1.08816,0.4678,0.43656,0.41515,0.22666,1.33816,1.12222,1.05603,0.000415396,0.000415396,0.000415396
2,171.04,1.37167,1.10781,1.05906,0.55101,0.49276,0.50307,0.27859,1.32455,1.03707,1.07416,0.000804605,0.000804605,0.000804605
3,238.972,1.34386,1.00599,1.04812,0.61914,0.46885,0.51566,0.30256,1.26743,0.9504,1.05184,0.00116631,0.00116631,0.00116631
4,304.322,1.30709,0.93595,1.0386,0.61523,0.48286,0.53575,0.3088,1.2389,0.91845,1.03782,0.00112625,0.00112625,0.00112625
5,369.465,1.25877,0.87688,1.01998,0.64603,0.49038,0.56015,0.32116,1.19725,0.83038,1.01746,0.001085,0.001085,0.001085
6,434.707,1.22787,0.84737,1.01093,0.59158,0.55937,0.59593,0.35378,1.16289,0.79649,1.01129,0.00104375,0.00104375,0.00104375
7,499.632,1.19686,0.81067,1.00047,0.68089,0.56912,0.63589,0.37504,1.14312,0.7677,1.00467,0.0010025,0.0010025,0.0010025
8,564.719,1.18436,0.79497,0.9919,0.6803,0.5756,0.63299,0.37155,1.14675,0.771,0.99734,0.00096125,0.00096125,0.00096125
9,629.642,1.16477,0.77347,0.98779,0.68986,0.5945,0.64577,0.39289,1.08747,0.7417,0.9829,0.00092,0.00092,0.00092
10,694.294,1.14634,0.75847,0.98056,0.7096,0.61381,0.66917,0.39861,1.10198,0.72804,0.99357,0.00087875,0.00087875,0.00087875
11,758.824,1.13821,0.74351,0.9772,0.76387,0.61421,0.68782,0.41086,1.0638,0.71131,0.97819,0.0008375,0.0008375,0.0008375
12,823.326,1.11677,0.72873,0.96777,0.71991,0.62834,0.68179,0.411,1.05807,0.70669,0.97183,0.00079625,0.00079625,0.00079625
13,887.899,1.10775,0.71738,0.9673,0.74841,0.63261,0.70655,0.4301,1.05644,0.67968,0.9743,0.000755,0.000755,0.000755
14,952.184,1.09367,0.70776,0.96319,0.77464,0.64301,0.72128,0.44195,1.04921,0.68745,0.9683,0.00071375,0.00071375,0.00071375
15,1016.57,1.08841,0.70042,0.96128,0.75777,0.65912,0.72705,0.45189,1.02106,0.65945,0.96001,0.0006725,0.0006725,0.0006725
16,1082.55,1.06895,0.68851,0.95497,0.78998,0.65057,0.73311,0.44933,1.01134,0.65469,0.95938,0.00063125,0.00063125,0.00063125
17,1147.15,1.07709,0.68538,0.95635,0.79856,0.66196,0.74906,0.46607,1.01205,0.64843,0.9558,0.00059,0.00059,0.00059
18,1211.89,1.05088,0.66756,0.94775,0.79298,0.66134,0.7411,0.46463,0.99761,0.64081,0.9547,0.00054875,0.00054875,0.00054875
19,1276.7,1.03888,0.65827,0.9445,0.80703,0.67941,0.75893,0.48117,0.98623,0.618,0.94824,0.0005075,0.0005075,0.0005075
20,1341.53,1.03456,0.64865,0.94213,0.82068,0.66078,0.75113,0.46958,0.98001,0.61468,0.94749,0.00046625,0.00046625,0.00046625
21,1432.05,1.01185,0.6347,0.93805,0.79233,0.6749,0.7507,0.47249,0.99451,0.62321,0.94949,0.000425,0.000425,0.000425
22,1496.4,1.00212,0.61588,0.93226,0.82232,0.68817,0.76505,0.4827,0.9784,0.61387,0.94427,0.00038375,0.00038375,0.00038375
23,1560.3,0.97314,0.60304,0.92843,0.82553,0.66153,0.76707,0.48278,0.96811,0.60684,0.94188,0.0003425,0.0003425,0.0003425
24,1624.13,0.96594,0.59331,0.92187,0.78614,0.70951,0.77733,0.49269,0.96468,0.59779,0.94175,0.00030125,0.00030125,0.00030125
25,1687.77,0.95382,0.58415,0.91905,0.83086,0.69759,0.78707,0.49643,0.95927,0.58797,0.93888,0.00026,0.00026,0.00026
26,1751.49,0.94152,0.5747,0.9154,0.82274,0.70171,0.78869,0.50747,0.93757,0.57821,0.93421,0.00021875,0.00021875,0.00021875
27,1814.82,0.923,0.56354,0.91098,0.85012,0.70316,0.79369,0.51378,0.92768,0.5693,0.93156,0.0001775,0.0001775,0.0001775
28,1878.68,0.91383,0.55794,0.90729,0.87039,0.714,0.80367,0.51999,0.91861,0.56397,0.92619,0.00013625,0.00013625,0.00013625
29,1941.89,0.90095,0.5483,0.90502,0.86708,0.71301,0.80706,0.52359,0.91629,0.56275,0.92635,9.5e-05,9.5e-05,9.5e-05
30,2005.13,0.88958,0.54196,0.90218,0.86806,0.71632,0.80708,0.52755,0.91264,0.55617,0.92344,5.375e-05,5.375e-05,5.375e-05
