epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.156,1.49031,2.3758,1.19686,0.34407,0.28025,0.29074,0.16,1.33256,1.38598,1.16563,0.000332317,0.000332317,0.0671006
2,176.877,1.32364,1.32989,1.12643,0.47427,0.36115,0.36094,0.20833,1.22224,1.11789,1.08601,0.000643684,0.000643684,0.0340786
3,239.136,1.25629,1.13426,1.0805,0.56641,0.47936,0.50702,0.30403,1.16873,0.9937,1.05632,0.000933051,0.000933051,0.00103468
4,300.773,1.20369,1.02957,1.05571,0.70082,0.53493,0.59852,0.36296,1.12729,0.94768,1.03951,0.000901,0.000901,0.000901
5,362.396,1.15907,0.96247,1.03803,0.70812,0.58706,0.64845,0.395,1.09844,0.87986,1.02927,0.000868,0.000868,0.000868
6,423.658,1.12877,0.91969,1.02485,0.73638,0.598,0.67067,0.41849,1.06794,0.84294,1.017,0.000835,0.000835,0.000835
7,484.677,1.10253,0.88367,1.01258,0.77387,0.60108,0.69205,0.43264,1.05615,0.81919,1.00703,0.000802,0.000802,0.000802
8,547.941,1.09543,0.87218,1.00601,0.77381,0.63057,0.71133,0.44691,1.05474,0.80876,1.00369,0.000769,0.000769,0.000769
9,609.659,1.07797,0.84524,1.00188,0.76559,0.63652,0.71079,0.44619,1.03678,0.77895,0.9964,0.000736,0.000736,0.000736
10,671.335,1.06745,0.8332,0.99698,0.80208,0.63195,0.72685,0.45988,1.02826,0.77456,0.98938,0.000703,0.000703,0.000703
11,733.384,1.05901,0.81995,0.99461,0.77059,0.64372,0.73242,0.46205,1.04001,0.77541,0.9935,0.00067,0.00067,0.00067
12,794.998,1.0464,0.80459,0.98579,0.8223,0.63642,0.74055,0.47325,1.01425,0.75781,0.9848,0.000637,0.000637,0.000637
13,856.861,1.03591,0.79549,0.98615,0.82758,0.6608,0.75769,0.4854,1.00274,0.74454,0.98183,0.000604,0.000604,0.000604
14,918.612,1.0267,0.78518,0.98215,0.815,0.68209,0.76328,0.49268,0.98993,0.73953,0.97416,0.000571,0.000571,0.000571
15,980.873,1.02424,0.77669,0.97903,0.83195,0.67535,0.763,0.49666,0.98704,0.72982,0.97226,0.000538,0.000538,0.000538
16,1042.53,1.01807,0.77108,0.97901,0.81649,0.68485,0.77555,0.50388,0.97219,0.71368,0.96939,0.000505,0.000505,0.000505
17,1103.67,1.02303,0.76949,0.97963,0.79696,0.71183,0.78247,0.51245,0.97206,0.71447,0.96842,0.000472,0.000472,0.000472
18,1165.52,1.00297,0.75462,0.96895,0.79427,0.70179,0.78046,0.50527,0.97239,0.71283,0.9695,0.000439,0.000439,0.000439
19,1227.35,0.99639,0.74641,0.96904,0.80268,0.7063,0.78802,0.51084,0.96548,0.70636,0.96749,0.000406,0.000406,0.000406
20,1289.12,0.99338,0.74034,0.96665,0.82951,0.69406,0.78636,0.51054,0.9612,0.6972,0.96294,0.000373,0.000373,0.000373
21,1376.79,0.98414,0.79146,0.96567,0.84696,0.67069,0.77577,0.50424,0.97662,0.70925,0.96557,0.00034,0.00034,0.00034
22,1437.07,0.9637,0.76031,0.95784,0.81824,0.67888,0.77563,0.49928,0.96947,0.71434,0.96538,0.000307,0.000307,0.000307
23,1497.85,0.95214,0.74997,0.95736,0.83767,0.69237,0.78805,0.51141,0.96552,0.70209,0.96276,0.000274,0.000274,0.000274
24,1558.51,0.9477,0.74323,0.95075,0.85539,0.67894,0.7848,0.50877,0.96192,0.69879,0.96014,0.000241,0.000241,0.000241
25,1619.03,0.93428,0.73385,0.94824,0.83843,0.70154,0.79599,0.52323,0.9547,0.69175,0.95872,0.000208,0.000208,0.000208
26,1679.18,0.93494,0.73092,0.94675,0.82314,0.71237,0.79489,0.51906,0.94687,0.68649,0.95665,0.000175,0.000175,0.000175
27,1739.36,0.92685,0.72371,0.9472,0.853,0.70001,0.7963,0.5183,0.94835,0.68027,0.95478,0.000142,0.000142,0.000142
28,1799.8,0.92159,0.71746,0.94487,0.84238,0.71129,0.79818,0.52673,0.94254,0.67872,0.95416,0.000109,0.000109,0.000109
29,1859.82,0.91711,0.71466,0.94349,0.85775,0.70155,0.79994,0.52615,0.93984,0.67536,0.9536,7.6e-05,7.6e-05,7.6e-05
30,1919.8,0.91281,0.71182,0.94115,0.84557,0.70658,0.80283,0.52687,0.94126,0.67712,0.95328,4.3e-05,4.3e-05,4.3e-05
