epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1545.43,0.61406,0.63389,0.15422,0.70728,0.59317,0.65613,0.36188,0.46786,0.49349,0.16341,0.000416508,0.000416508,0.000416508
2,3022.54,0.43024,0.46085,0.06697,0.80044,0.65491,0.75199,0.44514,0.43155,0.47795,0.13894,0.000805679,0.000805679,0.000805679
3,4478.99,0.41267,0.4447,0.06296,0.81641,0.64354,0.75068,0.406,0.49025,0.49597,0.17915,0.00116735,0.00116735,0.00116735
4,5936.07,0.39407,0.42941,0.05822,0.63965,0.51732,0.54857,0.17359,0.7357,0.52947,0.33568,0.00112625,0.00112625,0.00112625
5,7390.26,0.38202,0.42477,0.05728,0.79693,0.70166,0.76318,0.36129,0.55817,0.49425,0.21933,0.001085,0.001085,0.001085
6,8883.37,0.36397,0.41011,0.0526,0.84314,0.75053,0.81883,0.47684,0.45758,0.45536,0.16634,0.00104375,0.00104375,0.00104375
7,10355.9,0.34654,0.39874,0.04974,0.84206,0.75414,0.82007,0.46932,0.48143,0.44928,0.17602,0.0010025,0.0010025,0.0010025
8,11835.2,0.34815,0.40554,0.04993,0.79988,0.78131,0.83939,0.51682,0.4055,0.45917,0.12796,0.00096125,0.00096125,0.00096125
9,13343.5,0.34676,0.39445,0.04881,0.84976,0.76745,0.83921,0.46582,0.44421,0.45018,0.15499,0.00092,0.00092,0.00092
10,14852.9,0.32677,0.38378,0.04594,0.87357,0.81581,0.87478,0.53603,0.38741,0.41129,0.13752,0.00087875,0.00087875,0.00087875
11,16363.1,0.32396,0.38151,0.04562,0.87965,0.79496,0.86963,0.52993,0.41046,0.4478,0.14227,0.0008375,0.0008375,0.0008375
12,17874.8,0.31842,0.37613,0.04426,0.86988,0.79772,0.86668,0.5246,0.3888,0.43541,0.13262,0.00079625,0.00079625,0.00079625
13,19370.8,0.31243,0.37307,0.0436,0.86176,0.78693,0.86289,0.55361,0.37765,0.43112,0.12466,0.000755,0.000755,0.000755
14,20853.8,0.30794,0.36999,0.04208,0.84358,0.77917,0.84792,0.52034,0.38787,0.44362,0.14257,0.00071375,0.00071375,0.00071375
15,22365.4,0.3119,0.37673,0.04309,0.85754,0.74605,0.83345,0.51021,0.43007,0.47195,0.14791,0.0006725,0.0006725,0.0006725
16,23854.7,0.30842,0.37254,0.04245,0.87195,0.80547,0.86455,0.53914,0.40854,0.43019,0.14554,0.00063125,0.00063125,0.00063125
17,25370.9,0.29611,0.3645,0.04125,0.86646,0.80971,0.86584,0.51215,0.42745,0.42892,0.14571,0.00059,0.00059,0.00059
18,26923.3,0.29757,0.36387,0.04051,0.86687,0.79194,0.85578,0.53494,0.42098,0.45563,0.14504,0.00054875,0.00054875,0.00054875
19,28464.2,0.28745,0.35539,0.03894,0.88136,0.82537,0.88484,0.55649,0.39237,0.41712,0.1291,0.0005075,0.0005075,0.0005075
20,29954.9,0.28496,0.35359,0.03863,0.89325,0.832,0.89345,0.57925,0.36012,0.3991,0.12223,0.00046625,0.00046625,0.00046625
21,30907.3,0.28795,0.38388,0.0835,0.89251,0.83951,0.9009,0.63101,0.2867,0.3774,0.08946,0.000425,0.000425,0.000425
22,31842.9,0.29226,0.38424,0.08215,0.88977,0.84327,0.90876,0.65108,0.28452,0.38172,0.08611,0.00038375,0.00038375,0.00038375
23,32928.6,0.27698,0.36442,0.07551,0.90972,0.85878,0.92238,0.66775,0.27056,0.36482,0.08131,0.0003425,0.0003425,0.0003425
24,34022.7,0.26986,0.35949,0.07332,0.89556,0.86076,0.91739,0.66287,0.27006,0.36179,0.0821,0.00030125,0.00030125,0.00030125
25,35122.5,0.26076,0.3507,0.06977,0.91072,0.85978,0.92351,0.67697,0.26699,0.36305,0.08083,0.00026,0.00026,0.00026
26,36216.8,0.25193,0.33941,0.06716,0.90101,0.88688,0.9315,0.68782,0.25304,0.35526,0.07658,0.00021875,0.00021875,0.00021875
27,37319.4,0.24361,0.32729,0.06356,0.9288,0.87885,0.93394,0.6947,0.25466,0.34629,0.07571,0.0001775,0.0001775,0.0001775
28,38427.5,0.23445,0.31607,0.06032,0.92532,0.87171,0.93581,0.69475,0.25079,0.34351,0.07356,0.00013625,0.00013625,0.00013625
29,39542.9,0.22643,0.31,0.05856,0.9246,0.88749,0.94029,0.70106,0.24558,0.33313,0.07246,9.5e-05,9.5e-05,9.5e-05
30,40647.1,0.21787,0.30127,0.0556,0.91101,0.89303,0.94015,0.70637,0.24445,0.33419,0.07253,5.375e-05,5.375e-05,5.375e-05
